| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina11 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina12 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina13 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina14 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina15 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina16 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina17 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina18 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina19 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina20 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina21 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina22 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina23 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina24 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina25 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina26 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina27 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina28 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina29 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina30 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - scraping from url: http://www.pcgarage.ro/placi-video/pagina31 - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - Done with - pcgarage.ro - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - Found 56 items for host: pcgarage.ro - | on host: pcgarage.ro |
| 27.05.2014_00:58 |[LOG] - Finished scrap for date: 26.05.2014_09:51 - | on host: ~all~ |
